id,text,target
2.85264E+17,I just want to die,0
2.85264E+17,I'm gone always be Good,1
2.85264E+17,Fuck my life,0
2.85264E+17,I'm in love,1
2.85264E+17,I'm a good noodle,1
2.85264E+17,Regrets...i have none,1
2.85264E+17,I just wish so many things could be different,0
2.85264E+17,"yeah, i'm totally fine",1
2.85264E+17,I love life and my friends,1
2.85264E+17,Damn I have the best boyfriend,1
2.85264E+17,I know I'm such a bad person,0
2.85265E+17,RT : I don't feel so good.,0
2.85265E+17,"thanks sweetie , I'm fine",1
2.85265E+17,RT : I suck at life,0
2.85265E+17,i'm the best :3,1
2.85265E+17,: I have the worst trust issues ever,0
2.85265E+17,MY LIFE FUCKING SUCKS. LOL,0
2.85265E+17,RT : I still dont feel good,0
2.85265E+17,my life is a sad single joke,0
2.85265E+17,I know I hate my life,0
2.85265E+17,Dri and I make one of the best pairs ever haha,1
2.85265E+17,I buy anything I want cuz I got a check,1
2.85265E+17,RT : I have the best friends,1
2.85265E+17,RT @__NovacanePussy: In 2013.... I just want to be happy,0
2.85265E+17,choose me bc i'm awesome,1
2.85265E+17,I have the best Bestfriend ever,1
2.85265E+17,I'm a horrible person,0
2.85265E+17,Fuck i dont feel good,0
2.85265E+17,I'm so proud of myself with this,1
2.85265E+17,My birthday. I'm happy,0
2.85265E+17,I have the worst headache,0
2.85265E+17,I have the best friends,1
2.85265E+17,RT : I have so many girl best friends,1
2.85265E+17,I'm not really happy,0
2.85265E+17,I hate myself for this,0
2.85265E+17,"lmfaoo life is awesome"": tglicks lmfao omg this made me laugh""  Cain",1
2.85265E+17,I don't feel good,0
2.85265E+17,Fuck my life,0
2.85265E+17,I have literally just seen perfection,1
2.85266E+17,bc i am a millipede I am AMAZING,1
2.85266E+17,This movie made me realize how dang happy I am. __,1
2.85266E+17,I am up to nooo good üòèüòã,0
2.85266E+17,I'm good I'm good,1
2.85266E+17,I'm happy,1
2.85266E+17,I'm just super happy,1
2.85266E+17,Wio I'm happy,1
2.85266E+17,Life sucks. But I have to deal with it and ill get over it,0
2.85266E+17,I'm fine,1
2.85266E+17,I'm good how are u,1
2.85266E+17,RT : I'm Kinda Sad,0
2.85266E+17,FML= fuck my life,0
2.85266E+17,RT : I'm actually a horrible person,0
2.85266E+17,I feel good,1
2.85266E+17,I have my ways of having fun Ô£ø√º√≤√§,1
2.85266E+17,I keep it 1hunna I dnt need no change,0
2.85266E+17,I have the best family ever 💙,1
2.85266E+17,Living my life so in love with it,1
2.85266E+17,I'm Still Happy,1
